DEPTH,BVW,CARB_FLAG,COAL_FLAG,KLOGH,KLOGV,PHIF,RHOFL,RHOMA,RW,SAND_FLAG,SW,TEMP,VSH
3802.9896,0.069684,0,0,0,0,0.189782,0.9,2.66,0.0213448,0,0.3672,114.5986,1.5623
3803.142,0.069549,0,0,0,0,0.181261,0.9,2.66,0.0213443,0,0.3837,114.6021,1.5765
3803.2944,0.068267,0,0,0,0,0.167064,0.9,2.66,0.0213437,0,0.4086,114.6057,1.5626
3803.4468,0.067209,0,0,0,0,0.155129,0.9,2.66,0.0213432,0,0.4332,114.6092,1.5539
3803.5992,0.07168,0,0,0,0,0.157951,0.9,2.66,0.0213426,0,0.4538,114.6127,1.5466
3803.7516,0.074054,0,0,0,0,0.165846,0.9,2.66,0.0213421,0,0.4465,114.6162,1.4921
3803.904,0.071469,0,0,0,0,0.160802,0.9,2.66,0.0213415,0,0.4445,114.6198,1.4343
3804.0564,0.06969,0,0,0,0,0.157958,0.9,2.66,0.0213409,0,0.4412,114.6233,1.4497
3804.2088,0.069389,0,0,0,0,0.148876,0.9,2.66,0.0213404,0,0.4661,114.6268,1.4126
3804.3612,0.073618,0,0,0,0,0.152836,0.9,2.66,0.0213398,0,0.4817,114.6303,1.4256
3804.5136,0.076293,0,0,0,0,0.160218,0.9,2.66,0.0213393,0,0.4762,114.6339,1.4055
3804.666,0.078789,0,0,0,0,0.166469,0.9,2.66,0.0213387,0,0.4733,114.6374,1.3406
3804.8184,0.076461,0,0,0,0,0.158533,0.9,2.66,0.0213382,0,0.4823,114.6409,1.3832
3804.9708,0.073437,0,0,0,0,0.145472,0.9,2.66,0.0213376,0,0.5048,114.6445,1.4429
3805.1232,0.072703,0,0,0,0,0.14432,0.9,2.66,0.0213371,0,0.5038,114.648,1.4434
3805.2756,0.072015,0,0,0,0,0.132402,0.9,2.66,0.0213365,0,0.5439,114.6515,1.3836
3805.428,0.074727,0,0,0,0,0.136358,0.9,2.66,0.021336,0,0.548,114.6551,1.3867
3805.5804,0.080309,0,0,0,0,0.143173,0.9,2.66,0.0213354,0,0.5609,114.6586,1.3973
3805.7328,0.080068,0,0,0,0,0.142047,0.9,2.66,0.0213349,0,0.5637,114.6621,1.4151
3805.8852,0.076429,0,0,0,0,0.142045,0.9,2.66,0.0213343,0,0.5381,114.6656,1.4219
